"","SampleID","Inocula","Substrate","Replicate"
"1","Sediment1_R3","Sediment1","Inocula","R3"
"2","Sediment2_R1","Sediment2","Inocula","R1"
"3","Sediment3_R1","Sediment3","Inocula","R1"
"4","Sediment4_R1","Sediment4","Inocula","R1"
"5","Sediment5_R1","Sediment5","Inocula","R1"
"6","Sediment6_R1","Sediment6","Inocula","R1"
"7","Blank1","Blank1","Blank","Blank"
"8","Blank2","Blank2","Blank","Blank"
"9","Sediment1_R4","Sediment1","Inocula","R4"
"10","Sediment2_R2","Sediment2","Inocula","R2"
"11","Sediment3_R2","Sediment3","Inocula","R2"
"12","Sediment4_R2","Sediment4","Inocula","R2"
"13","Sediment5_R2","Sediment5","Inocula","R2"
"14","Sediment6_R2","Sediment6","Inocula","R2"
"15","Blank3","Blank3","Blank","Blank"
"16","Blank4","Blank4","Blank","Blank"
"17","PCRBlank1021B","PCRBlank1021B","Blank","Blank"
"18","Sediment2_R3","Sediment2","Inocula","R3"
"19","Sediment3_R3","Sediment3","Inocula","R3"
"20","Sediment4_R3","Sediment4","Inocula","R3"
"21","Sediment5_R3","Sediment5","Inocula","R3"
"22","Sediment6_R3","Sediment6","Inocula","R3"
"23","Blank5","Blank5","Blank","Blank"
"24","Blank6","Blank6","Blank","Blank"
"25","Blank","Blank","Blank","Blank"
"26","Sediment2_R4","Sediment2","Inocula","R4"
"27","Sediment3_R4","Sediment3","Inocula","R4"
"28","Sediment4_R4","Sediment4","Inocula","R4"
"29","Sediment5_R4","Sediment5","Inocula","R4"
"30","Sediment6_R4","Sediment6","Inocula","R4"
"31","Blank7","Blank7","Blank","Blank"
"32","Blank8","Blank8","Blank","Blank"
"33","Compost_TPA_R1","Compost","TPA","R1"
"34","Sediment1_TPA_R1","Sediment1","TPA","R1"
"35","Sediment2_TPA_R1","Sediment2","TPA","R1"
"36","Sediment3_TPA_R1","Sediment3","TPA","R1"
"37","Sediment4_TPA_R1","Sediment4","TPA","R1"
"38","Sediment5_TPA_R1","Sediment5","TPA","R1"
"39","Sediment6_TPA_R1","Sediment6","TPA","R1"
"40","Blank1016","Blank1016","Blank","Blank"
"41","Compost_TPA_R2","Compost","TPA","R2"
"42","Sediment1_TPA_R2","Sediment1","TPA","R2"
"43","Sediment2_TPA_R2","Sediment2","TPA","R2"
"44","Sediment3_TPA_R2","Sediment3","TPA","R2"
"45","Sediment4_TPA_R2","Sediment4","TPA","R2"
"46","Sediment5_TPA_R2","Sediment5","TPA","R2"
